family,genus,species,gen.spe,sl,bodydepth,snoutlength,eyediameter,size,schooling
Acanthuridae,Acanthurus,achilles,Acanthurus.achilles,163.6666667,0.554362479,0.487779681,0.350719137,S,Solitary
Acanthuridae,Acanthurus,albipectoralis,Acanthurus.albipectoralis,212.73,0.440534979,0.440262332,0.25605931,M,SmallGroups
Acanthuridae,Acanthurus,auranticavus,Acanthurus.auranticavus,216,0.472655634,0.538649025,0.245125348,M,MediumGroups
Acanthuridae,Acanthurus,blochii,Acanthurus.blochii,82.9,0.558648566,0.478221688,0.3196155,M,SmallGroups
Acanthuridae,Acanthurus,dussumieri,Acanthurus.dussumieri,193.7033333,0.545724767,0.566186675,0.280721833,L,Solitary
Acanthuridae,Acanthurus,fowleri,Acanthurus.fowleri,266,0.466952136,0.595056343,0.22173755,M,Solitary
Acanthuridae,Acanthurus,guttatus,Acanthurus.guttatus,150,0.680143549,0.404397723,0.287676733,S,MediumGroups
Acanthuridae,Acanthurus,leucocheilus,Acanthurus.leucocheilus,228.6666667,0.491472795,0.563361215,0.340046532,M,Solitary
Acanthuridae,Acanthurus,leucopareius,Acanthurus.leucopareius,189.6666667,0.578246647,0.489693768,0.272898056,S,SmallGroups
Acanthuridae,Acanthurus,lineatus,Acanthurus.lineatus,133.436,0.498851279,0.463860815,0.268611769,M,Solitary
Acanthuridae,Acanthurus,maculiceps,Acanthurus.maculiceps,216,0.491411308,0.584509466,0.272289157,M,Solitary
Acanthuridae,Acanthurus,mata,Acanthurus.mata,248.6,0.425677016,0.485080074,0.266649286,M,SmallGroups
Acanthuridae,Acanthurus,nigricans,Acanthurus.nigricans,120.708,0.559288276,0.489719917,0.337649138,S,Solitary
Acanthuridae,Acanthurus,nigricauda,Acanthurus.nigricauda,186.9,0.466157859,0.56841338,0.299892987,M,Solitary
Acanthuridae,Acanthurus,nigrofuscus,Acanthurus.nigrofuscus,66.1625,0.497169505,0.396850415,0.35266696,S,Solitary
Acanthuridae,Acanthurus,nigroris,Acanthurus.nigroris,135.5,0.487713375,0.503032056,0.308126287,S,Solitary
Acanthuridae,Acanthurus,nubilus,Acanthurus.nubilus,189,0.507262164,0.51651255,0.339057684,S,Solitary
Acanthuridae,Acanthurus,olivaceus,Acanthurus.olivaceus,150.5,0.465339633,0.509483228,0.302660938,M,Solitary
Acanthuridae,Acanthurus,pyroferus,Acanthurus.pyroferus,125.6666667,0.515334213,0.500501398,0.329086326,S,Solitary
Acanthuridae,Acanthurus,thompsoni,Acanthurus.thompsoni,118.5,0.451444755,0.410379734,0.363021253,S,Solitary
Acanthuridae,Acanthurus,triostegus,Acanthurus.triostegus,115.55,0.515500599,0.432437628,0.3126449,S,MediumGroups
Acanthuridae,Acanthurus,xanthopterus,Acanthurus.xanthopterus,268,0.496777878,0.521492034,0.226085177,L,MediumGroups
Labridae,Bolbometopon,muricatum,Bolbometopon.muricatum,307.5,0.437332605,0.312379506,0.232947959,XL,MediumGroups
Labridae,Calotomus,carolinus,Calotomus.carolinus,199.75,0.413061149,0.327887127,0.242062876,L,Solitary
Labridae,Calotomus,spinidens,Calotomus.spinidens,116.6666667,0.357398727,0.284133489,0.250830611,S,Solitary
Labridae,Cetoscarus,ocellatus,Cetoscarus.ocellatus,370,0.386532206,0.428246014,0.138952164,XL,SmallGroups
Labridae,Chlorurus,bleekeri,Chlorurus.bleekeri,192.5,0.379009931,0.365253157,0.21802899,M,SmallGroups
Labridae,Chlorurus,bowersi,Chlorurus.bowersi,167.6666667,0.423293349,0.373296768,0.193344468,M,Solitary
Labridae,Chlorurus,frontalis,Chlorurus.frontalis,346.3333333,0.389658324,0.365125119,0.164404359,M,MediumGroups
Labridae,Chlorurus,japanensis,Chlorurus.japanensis,180.6666667,0.404409596,0.365560171,0.209907827,M,SmallGroups
Labridae,Chlorurus,microrhinos,Chlorurus.microrhinos,417,0.401805089,0.358910891,0.148514851,L,SmallGroups
Acanthuridae,Ctenochaetus,binotatus,Ctenochaetus.binotatus,62.44,0.529056016,0.451106662,0.364964518,S,Solitary
Acanthuridae,Ctenochaetus,flavicauda,Ctenochaetus.flavicauda,92,0.565490642,0.484538399,0.34564951,XS,Solitary
Acanthuridae,Ctenochaetus,hawaiiensis,Ctenochaetus.hawaiiensis,216,0.548870232,0.676806084,0.235741445,S,Solitary
Acanthuridae,Ctenochaetus,marginatus,Ctenochaetus.marginatus,194,0.52868177,0.532608696,0.282608696,S,Solitary
Acanthuridae,Ctenochaetus,striatus,Ctenochaetus.striatus,118.3333333,0.514416177,0.555009824,0.280825403,S,Solitary
Acanthuridae,Ctenochaetus,strigosus,Ctenochaetus.strigosus,99.66666667,0.54916021,0.519708203,0.280526535,XS,Solitary
Acanthuridae,Ctenochaetus,tominiensis,Ctenochaetus.tominiensis,85,0.491477974,0.524514643,0.277064824,S,Solitary
Labridae,Hipposcarus,longiceps,Hipposcarus.longiceps,381,0.404031678,0.385857334,0.150462748,L,MediumGroups
Kyphosidae,Kyphosus,vaigiensis,Kyphosus.vaigiensis,286.6666667,0.479171014,0.164409273,0.181070942,L,SmallGroups
Labridae,Leptoscarus,vaigiensis,Leptoscarus.vaigiensis,216.5,0.333903079,0.296928247,0.20912146,M,Solitary
Acanthuridae,Naso,annulatus,Naso.annulatus,193.3333333,0.40471905,0.526336176,0.345714056,XL,SmallGroups
Acanthuridae,Naso,brachycentron,Naso.brachycentron,422,0.404256809,0.573624595,0.221682848,XL,SmallGroups
Acanthuridae,Naso,brevirostris,Naso.brevirostris,231.3333333,0.405448493,0.537395651,0.306597371,L,SmallGroups
Acanthuridae,Naso,caesius,Naso.caesius,356,0.366866294,0.524394082,0.236701291,M,Solitary
Acanthuridae,Naso,hexacanthus,Naso.hexacanthus,262.125,0.343032598,0.547721891,0.275332544,L,LargeGroups
Acanthuridae,Naso,lituratus,Naso.lituratus,136.528,0.462410521,0.589743946,0.290735273,M,Solitary
Acanthuridae,Naso,lopezi,Naso.lopezi,349.5,0.329408933,0.516277564,0.267301614,L,MediumGroups
Acanthuridae,Naso,thynnoides,Naso.thynnoides,178,0.33532261,0.437664328,0.290845568,M,SmallGroups
Acanthuridae,Naso,tuberosus,Naso.tuberosus,350.6666667,0.373476166,0.535207733,0.255746703,L,SmallGroups
Acanthuridae,Naso,unicornis,Naso.unicornis,323.5,0.440337231,0.641986461,0.220284476,L,SmallGroups
Acanthuridae,Naso,vlamingii,Naso.vlamingii,281.11,0.385277253,0.583075399,0.301062645,L,SmallGroups
Acanthuridae,Paracanthurus,hepatus,Paracanthurus.hepatus,104.8,0.489926119,0.533163211,0.295414255,M,SmallGroups
Labridae,Scarus,altipinnis,Scarus.altipinnis,269,0.423029612,0.47106025,0.182294913,L,MediumGroups
Labridae,Scarus,chameleon,Scarus.chameleon,187.6666667,0.388685121,0.31680228,0.189959832,M,Solitary
Labridae,Scarus,dimidiatus,Scarus.dimidiatus,177.6666667,0.369201197,0.341233554,0.196050334,M,SmallGroups
Labridae,Scarus,festivus,Scarus.festivus,243.3333333,0.399035962,0.292363983,0.198165417,M,Solitary
Labridae,Scarus,flavipectoralis,Scarus.flavipectoralis,174.6666667,0.363936445,0.304373614,0.19257423,M,Solitary
Labridae,Scarus,forsteni,Scarus.forsteni,297.6666667,0.361349901,0.332198937,0.164531612,L,Solitary
Labridae,Scarus,frenatus,Scarus.frenatus,249.3333333,0.369444402,0.338508946,0.180189279,M,SmallGroups
Labridae,Scarus,ghobban,Scarus.ghobban,413.6666667,0.387925576,0.379815589,0.134363186,XL,Solitary
Labridae,Scarus,globiceps,Scarus.globiceps,179.6666667,0.402395823,0.339464501,0.213523742,M,MediumGroups
Labridae,Scarus,hypselopterus,Scarus.hypselopterus,172.3333333,0.354382196,0.29188387,0.205159869,M,SmallGroups
Labridae,Scarus,longipinnis,Scarus.longipinnis,228.3333333,0.375752602,0.337519887,0.233893409,M,Solitary
Labridae,Scarus,niger,Scarus.niger,221,0.425348744,0.337646228,0.211150701,M,SmallGroups
Labridae,Scarus,oviceps,Scarus.oviceps,192,0.369884927,0.364688572,0.200261863,M,SmallGroups
Labridae,Scarus,prasiognathos,Scarus.prasiognathos,251,0.402835266,0.350798232,0.183127474,L,MediumGroups
Labridae,Scarus,psittacus,Scarus.psittacus,217,0.411209845,0.348840615,0.188357936,S,MediumGroups
Labridae,Scarus,quoyi,Scarus.quoyi,160.6666667,0.42424097,0.318912279,0.241685875,M,MediumGroups
Labridae,Scarus,rivulatus,Scarus.rivulatus,248,0.440279575,0.323482205,0.195062584,M,MediumGroups
Labridae,Scarus,rubroviolaceus,Scarus.rubroviolaceus,374.3333333,0.369569446,0.357217277,0.181633284,L,Solitary
Labridae,Scarus,schlegeli,Scarus.schlegeli,205,0.403459402,0.316856135,0.2000254,M,MediumGroups
Labridae,Scarus,spinus,Scarus.spinus,180.5,0.418262973,0.363588453,0.236979302,S,MediumGroups
Labridae,Scarus,tricolor,Scarus.tricolor,250.5,0.359430535,0.320067629,0.182131005,S,Solitary
Labridae,Scarus,xanthopleura,Scarus.xanthopleura,359.5,0.374630835,0.356116333,0.17039571,L,Solitary
Siganidae,Siganus,argenteus,Siganus.argenteus,216.305,0.359982375,0.35320786,0.248240027,M,SmallGroups
Siganidae,Siganus,canaliculatus,Siganus.canaliculatus,110.1166667,0.371914219,0.334053041,0.321176183,S,MediumGroups
Siganidae,Siganus,corallinus,Siganus.corallinus,166.5,0.46398148,0.413807266,0.288533508,S,Pairs
Siganidae,Siganus,doliatus,Siganus.doliatus,117.825,0.488110919,0.310809406,0.351352849,S,Pairs
Siganidae,Siganus,fuscescens,Siganus.fuscescens,137.01,0.414352462,0.319785288,0.348115446,M,MediumGroups
Siganidae,Siganus,guttatus,Siganus.guttatus,107,0.542519685,0.260162602,0.454033771,M,SmallGroups
Siganidae,Siganus,javus,Siganus.javus,124.3,0.484374743,0.330375045,0.32479161,L,SmallGroups
Siganidae,Siganus,lineatus,Siganus.lineatus,250,0.435357787,0.33148251,0.289838978,M,SmallGroups
Siganidae,Siganus,niger,Siganus.niger,126,0.464262874,0.422196052,0.363728008,S,Pairs
Siganidae,Siganus,puellus,Siganus.puellus,160.275,0.401012371,0.377819688,0.298304495,M,Pairs
Siganidae,Siganus,punctatissimus,Siganus.punctatissimus,250,0.461606225,0.31466331,0.352422907,M,Pairs
Siganidae,Siganus,punctatus,Siganus.punctatus,200.75,0.453182189,0.381124953,0.301853918,M,Pairs
Siganidae,Siganus,randalli,Siganus.randalli,178,0.3857651,0.286397576,0.392382349,S,SmallGroups
Siganidae,Siganus,spinus,Siganus.spinus,89.23333333,0.348996677,0.274341032,0.388703369,S,SmallGroups
Siganidae,Siganus,stellatus,Siganus.stellatus,241.6666667,0.465539521,0.40636271,0.246294394,M,Pairs
Siganidae,Siganus,vermiculatus,Siganus.vermiculatus,102.6,0.510228405,0.34272577,0.332828524,M,SmallGroups
Siganidae,Siganus,vulpinus,Siganus.vulpinus,152.345,0.472487955,0.531328887,0.286981068,S,Pairs
Acanthuridae,Zebrasoma,flavescens,Zebrasoma.flavescens,119.5,0.585090525,0.618684189,0.354753806,S,SmallGroups
Acanthuridae,Zebrasoma,rostratum,Zebrasoma.rostratum,150,0.546,0.786057014,0.200677392,S,Solitary
Acanthuridae,Zebrasoma,scopas,Zebrasoma.scopas,96.1,0.621133789,0.600189843,0.304174341,M,Pairs
Acanthuridae,Zebrasoma,velifer,Zebrasoma.velifer,153,0.548448007,0.624939412,0.358807266,M,Pairs
