Site,Exposure,year,depth,transect,Family,Functional.Group,species,abundance
Big Vickis,Sheltered,2011,deep,1,Acanthuridae,Grazer,aca.bloc,1
Big Vickis,Sheltered,2011,deep,1,Acanthuridae,Grazer,cte.bino,1
Big Vickis,Sheltered,2011,deep,1,Acanthuridae,Grazer,cte.stri,3
Big Vickis,Sheltered,2011,deep,1,Balistidae,Macroinvertivore,suf.chry,2
Big Vickis,Sheltered,2011,deep,1,Chaetodontidae,Obligate corallivore,cha.baro,4
Big Vickis,Sheltered,2011,deep,1,Chaetodontidae,Obligate corallivore,cha.ttus,2
Big Vickis,Sheltered,2011,deep,1,Labridae,Carnivore,oxy.orie,1
Big Vickis,Sheltered,2011,deep,1,Labridae,Hunting piscivore,tha.luna,2
Big Vickis,Sheltered,2011,deep,1,Labridae,Macroinvertivore,che.chlo,3
Big Vickis,Sheltered,2011,deep,1,Labridae,Macroinvertivore,che.fasc,1
Big Vickis,Sheltered,2011,deep,1,Labridae,Macroinvertivore,cor.batu,2
Big Vickis,Sheltered,2011,deep,1,Labridae,Macroinvertivore,hem.melt,1
Big Vickis,Sheltered,2011,deep,1,Labridae,Microinvertivore,hal.mela,2
Big Vickis,Sheltered,2011,deep,1,Lutjanidae,Carnivore,lut.carp,3
Big Vickis,Sheltered,2011,deep,1,Mullidae,Macroinvertivore,par.mult,1
Big Vickis,Sheltered,2011,deep,1,Nemipteridae,Macroinvertivore,sco.bili,2
Big Vickis,Sheltered,2011,deep,1,Pomacentridae,Extensive farmer,pom.ward,2
Big Vickis,Sheltered,2011,deep,1,Pomacentridae,Indeterminate farmer,pom.adel,11
Big Vickis,Sheltered,2011,deep,1,Pomacentridae,Omnivore,pom.ambo,13
Big Vickis,Sheltered,2011,deep,1,Pomacentridae,Omnivore,pom.brac,2
Big Vickis,Sheltered,2011,deep,1,Pomacentridae,Omnivore,pom.molu,62
Big Vickis,Sheltered,2011,deep,1,Pomacentridae,Planktivore,chy.roll,3
